decoder_family,condition,severity,episode_count,success_count,success_rate,mean_evidence_count,subject_ids,population_size,realized_contamination_count,realized_contamination_fraction
csp_lda,A,0.0,38,25,0.6578947368421053,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,A,0.25,38,25,0.6578947368421053,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,A,0.5,38,25,0.6578947368421053,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,A,0.75,38,25,0.6578947368421053,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,A,1.0,38,19,0.5,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,B,0.0,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,B,0.25,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,B,0.5,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,B,0.75,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,B,1.0,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
csp_lda,C,0.0,38,32,0.8421052631578947,4.342105263157895,16|21|29|31|34|76|89|93,,,
csp_lda,C,0.25,38,33,0.868421052631579,4.657894736842105,16|21|29|31|34|76|89|93,,,
csp_lda,C,0.5,38,36,0.9473684210526315,4.973684210526316,16|21|29|31|34|76|89|93,,,
csp_lda,C,0.75,38,38,1.0,5.0,16|21|29|31|34|76|89|93,,,
csp_lda,C,1.0,38,38,1.0,5.0,16|21|29|31|34|76|89|93,,,
csp_lda,D,0.0,38,32,0.8421052631578947,4.368421052631579,16|21|29|31|34|76|89|93,,,
csp_lda,D,0.25,38,33,0.868421052631579,4.684210526315789,16|21|29|31|34|76|89|93,,,
csp_lda,D,0.5,38,36,0.9473684210526315,4.973684210526316,16|21|29|31|34|76|89|93,,,
csp_lda,D,0.75,38,38,1.0,5.0,16|21|29|31|34|76|89|93,,,
csp_lda,D,1.0,38,38,1.0,5.0,16|21|29|31|34|76|89|93,,,
eegnet,A,0.0,38,23,0.6052631578947368,1.0,16|21|29|31|34|76|89|93,,,
eegnet,A,0.25,38,23,0.6052631578947368,1.0,16|21|29|31|34|76|89|93,,,
eegnet,A,0.5,38,23,0.6052631578947368,1.0,16|21|29|31|34|76|89|93,,,
eegnet,A,0.75,38,23,0.6052631578947368,1.0,16|21|29|31|34|76|89|93,,,
eegnet,A,1.0,38,19,0.5,1.0,16|21|29|31|34|76|89|93,,,
eegnet,B,0.0,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
eegnet,B,0.25,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
eegnet,B,0.5,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
eegnet,B,0.75,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
eegnet,B,1.0,38,38,1.0,1.0,16|21|29|31|34|76|89|93,,,
eegnet,C,0.0,38,36,0.9473684210526315,4.368421052631579,16|21|29|31|34|76|89|93,,,
eegnet,C,0.25,38,37,0.9736842105263158,4.552631578947368,16|21|29|31|34|76|89|93,,,
eegnet,C,0.5,38,38,1.0,4.842105263157895,16|21|29|31|34|76|89|93,,,
eegnet,C,0.75,38,38,1.0,5.0,16|21|29|31|34|76|89|93,,,
eegnet,C,1.0,38,38,1.0,5.0,16|21|29|31|34|76|89|93,,,
eegnet,D,0.0,38,36,0.9473684210526315,4.394736842105263,16|21|29|31|34|76|89|93,,,
eegnet,D,0.25,38,37,0.9736842105263158,4.578947368421052,16|21|29|31|34|76|89|93,,,
eegnet,D,0.5,38,38,1.0,4.894736842105263,16|21|29|31|34|76|89|93,,,
eegnet,D,0.75,38,38,1.0,5.0,16|21|29|31|34|76|89|93,,,
eegnet,D,1.0,38,38,1.0,5.0,16|21|29|31|34|76|89|93,,,
