decoder_family,episode_index,episode_id,subject_id,prior_victim_a,prior_victim_b,human_action,adaptation_updated,evidence_latency,task_outcome
eegnet,21,d081-s076-r04-right-b000-3ea563a1c322de50,76,0.5,0.5,CONFIRM,True,5,True
eegnet,22,d081-s076-r04-left-b000-6e8b8104f8fc51c4,76,0.5,0.5,OVERRIDE,True,5,True
eegnet,23,d081-s076-r08-left-b000-02334928bee19ccf,76,0.5,0.5,,False,5,False
eegnet,24,d081-s076-r08-right-b000-c055f89746084716,76,0.5,0.5,OVERRIDE,True,5,True
eegnet,25,d081-s076-r12-left-b000-5f3b61db894f45d4,76,0.4,0.6,OVERRIDE,True,5,True
eegnet,26,d081-s076-r12-right-b000-6f870d9ae04df88d,76,0.5,0.5,CONFIRM,True,5,True
eegnet,27,d081-s089-r04-left-b000-6d03b2ddd596e41b,89,0.5,0.5,OVERRIDE,True,5,True
eegnet,28,d081-s089-r04-right-b000-65a6b26d39d4f957,89,0.5,0.5,CONFIRM,True,5,True
eegnet,29,d081-s089-r08-left-b000-26a46e0a3721b10f,89,0.5,0.5,OVERRIDE,True,5,True
eegnet,30,d081-s089-r08-right-b000-48c78f82599b9356,89,0.6,0.4,OVERRIDE,True,5,True
eegnet,31,d081-s089-r12-left-b000-2a7759c30dfaa90b,89,0.5,0.5,OVERRIDE,True,5,True
eegnet,32,d081-s089-r12-right-b000-8aa7207003b84414,89,0.5714285714285714,0.4285714285714286,OVERRIDE,True,5,True
eegnet,33,d081-s093-r04-right-b000-30442968ba5cf7a5,93,0.5,0.5,,False,2,True
eegnet,34,d081-s093-r04-left-b000-bb024072f316a05b,93,0.5,0.5,OVERRIDE,True,5,True
eegnet,35,d081-s093-r08-left-b000-94c385bc4e4738b6,93,0.5,0.5,OVERRIDE,True,5,True
eegnet,36,d081-s093-r08-right-b000-a72fc490d97292d8,93,0.5,0.5,,False,2,True
eegnet,37,d081-s093-r12-left-b000-08d7152adf144568,93,0.5,0.5,OVERRIDE,True,5,True
eegnet,38,d081-s093-r12-right-b000-7f0a83efe8bbdc45,93,0.75,0.25,OVERRIDE,True,5,True
