decoder_family,sample_count,correct_count,accuracy,balanced_accuracy,macro_f1,evaluation_unit
csp_lda,303,202,0.6666666666666666,0.6694139194139194,0.6649000821242814,eeg_trial
eegnet,303,182,0.6006600660066007,0.609236002093145,0.5691014867485457,eeg_trial
