decoder_family,condition,episode_count,success_count,success_rate,committed_count,wrong_all_rate,wrong_committed_rate,mean_evidence_count,navigation_success_count,navigation_denominator,environment_steps,cumulative_risk,unsafe_action_attempts,executed_hard_safety_violations,replanning_count,no_safe_path_events,subject_ids
csp_lda,A,38,25,0.6578947368421053,38,0.34210526315789475,0.34210526315789475,1.0,38,38,130,0.0,0,0,0,0,16|21|29|31|34|76|89|93
csp_lda,B,38,38,1.0,38,0.0,0.0,1.0,38,38,133,0.0,0,0,0,0,16|21|29|31|34|76|89|93
csp_lda,C,38,32,0.8421052631578947,38,0.15789473684210525,0.15789473684210525,4.342105263157895,38,38,129,0.0,0,0,0,0,16|21|29|31|34|76|89|93
csp_lda,D,38,32,0.8421052631578947,38,0.15789473684210525,0.15789473684210525,4.368421052631579,38,38,129,0.0,0,0,0,0,16|21|29|31|34|76|89|93
eegnet,A,38,23,0.6052631578947368,38,0.39473684210526316,0.39473684210526316,1.0,38,38,122,0.0,0,0,0,0,16|21|29|31|34|76|89|93
eegnet,B,38,38,1.0,38,0.0,0.0,1.0,38,38,133,0.0,0,0,0,0,16|21|29|31|34|76|89|93
eegnet,C,38,36,0.9473684210526315,38,0.05263157894736842,0.05263157894736842,4.368421052631579,38,38,131,0.0,0,0,0,0,16|21|29|31|34|76|89|93
eegnet,D,38,36,0.9473684210526315,38,0.05263157894736842,0.05263157894736842,4.394736842105263,38,38,131,0.0,0,0,0,0,16|21|29|31|34|76|89|93
